Movave,MKTRF,SMB,HML,SMB5,RMW,CMA,MOM,STR,LTR
0,5.3201,3.1793,3.4831,3.0095,2.1554,1.9928,4.6942,3.4107,3.4505
1,3.9709,4.6049,4.5415,4.6211,4.1167,4.0028,4.538,3.252,4.2897
2,3.8092,4.4448,4.4045,4.4717,3.9848,3.8738,4.3899,3.0285,4.1467
3,3.7821,4.371,4.3061,4.3969,3.9196,3.7975,4.3183,2.9554,4.092
4,3.7439,4.3279,4.2719,4.3286,3.8894,3.7684,4.325,2.9196,4.0637
5,3.6909,4.2884,4.2697,4.2644,3.8947,3.7575,4.3079,2.9033,4.0433
6,3.652,4.2665,4.2053,4.2663,3.8873,3.7339,4.2822,2.8544,4.0261
7,3.6247,4.2503,4.1721,4.2888,3.888,3.7272,4.2646,2.841,4.0136
8,3.6051,4.2415,4.1572,4.2898,3.8788,3.7163,4.2443,2.8198,3.9936
9,3.5683,4.2265,4.1435,4.2851,3.8708,3.7126,4.2269,2.8105,3.9761
10,3.5197,4.2161,4.1321,4.2866,3.8545,3.712,4.2345,2.801,3.9659
11,3.5202,4.215,4.118,4.2906,3.8568,3.7232,4.2466,2.7936,3.9553
12,3.5127,4.2141,4.0941,4.2884,3.8642,3.7221,4.2532,2.7947,3.9401
13,3.5119,4.2122,4.0915,4.2916,3.869,3.7196,4.2476,2.7955,3.9332
14,3.5062,4.1953,4.0889,4.2864,3.87,3.7196,4.251,2.777,3.9348
15,3.4986,4.186,4.0812,4.2874,3.8758,3.7155,4.2644,2.7775,3.9297
16,3.4984,4.1729,4.0729,4.284,3.8708,3.7161,4.2672,2.7603,3.9273
17,3.502,4.1587,4.0775,4.2898,3.8797,3.7206,4.2655,2.7575,3.9243
18,3.4973,4.1573,4.0755,4.2955,3.8861,3.7257,4.2669,2.7641,3.9311
19,3.4906,4.1543,4.0795,4.2915,3.8922,3.7372,4.2626,2.7679,3.9416
20,3.4853,4.1557,4.087,4.2857,3.9069,3.7448,4.2617,2.765,3.9475
21,3.4887,4.1629,4.0927,4.2963,3.9083,3.7546,4.2556,2.772,3.9517
22,3.4969,4.1659,4.0977,4.312,3.9175,3.7546,4.2629,2.7798,3.9571
23,3.5003,4.1635,4.0923,4.2918,3.9252,3.7588,4.2648,2.7796,3.9617
24,3.4911,4.1546,4.0986,4.2845,3.9267,3.7625,4.2693,2.7738,3.9638
